Filename,Percentage,DSE,stream_latency,n,p
line_1000_static,50,368681.1098441656,0.0005262000000000001,97,2
line_1000_static,55,368681.1098441656,0.0005262000000000001,97,2
line_1000_static,60,506019.88837915356,0.00081222104,137,3
line_1000_static,65,550935.4182900486,0.0005281925800000001,97,3
line_1000_static,70,550990.2677320407,0.0005281400000000001,97,3
line_1000_static,75,658471.9828402201,0.00077755776,128,4
line_1000_static,80,672920.2074794737,0.00081436104,137,4
line_1000_static,85,731892.3881267587,0.0005301325800000001,97,4
line_1000_static,90,731964.9864171445,0.00053008,97,4
line_1000_static,95,838083.4516764262,0.00081734104,137,5
line_1000_static,100,838083.4516764262,0.00081734104,137,5
line_10000_static,50,116987.92648039995,0.00437652,256,2
line_10000_static,55,117571.05674776854,0.00481411,283,2
line_10000_static,60,163739.63124470547,0.00351778,192,3
line_10000_static,65,163739.63124470547,0.00351778,192,3
line_10000_static,70,175276.83698341265,0.004381639999999999,256,3
line_10000_static,75,175775.29063725728,0.00452282,265,3
line_10000_static,80,218081.4511503229,0.0035216199999999996,192,4
line_10000_static,85,218081.4511503229,0.0035216199999999996,192,4
line_10000_static,90,231468.08633759624,0.00414744,240,4
line_10000_static,95,272304.8907092975,0.00352546,192,5
line_10000_static,100,272304.8907092975,0.00352546,192,5
lattice_1000_static,50,175149.2417497409,0.00068513,60,2
lattice_1000_static,55,175149.2417497409,0.00068513,60,2
lattice_1000_static,60,247845.31934279288,0.0010167632,84,3
lattice_1000_static,65,262264.5083268981,0.0006863300000000001,60,3
lattice_1000_static,70,262264.5083268981,0.0006863300000000001,60,3
lattice_1000_static,75,329915.30602786684,0.0010184432,84,4
lattice_1000_static,80,330109.7850828104,0.0010178432000000001,84,4
lattice_1000_static,85,349075.6766977441,0.00068753,60,4
lattice_1000_static,90,349075.6766977441,0.00068753,60,4
lattice_1000_static,95,411860.32208261685,0.0010197632,84,5
lattice_1000_static,100,411860.32208261685,0.0010197632,84,5
lattice_10000_static,50,55148.43511750086,0.00547613,151,2
lattice_10000_static,55,56567.17593195225,0.00622269,176,2
lattice_10000_static,60,70024.93627268587,0.004327030000000001,101,3
lattice_10000_static,65,78001.02763258627,0.00484609,126,3
lattice_10000_static,70,80797.51213415874,0.00516105,139,3
lattice_10000_static,75,93323.01544218708,0.00432905,101,4
lattice_10000_static,80,93323.01544218708,0.00432905,101,4
lattice_10000_static,85,103947.31685988355,0.004848610000000001,126,4
lattice_10000_static,90,106371.57814937268,0.00503894,134,4
lattice_10000_static,95,116599.36228229974,0.00433107,101,5
lattice_10000_static,100,116599.36228229974,0.00433107,101,5
MITb_static,50,394229.5395844771,0.00048195272277227726,95,2
MITb_static,55,394229.5395844771,0.00048195272277227726,95,2
MITb_static,60,524081.68473844155,0.000772780297029703,135,3
MITb_static,65,588800.523378243,0.0004891300000000001,96,3
MITb_static,70,588800.523378243,0.0004891300000000001,96,3
MITb_static,75,686581.0396514093,0.0007457240594059406,128,4
MITb_static,80,696881.8307420462,0.000774880297029703,135,4
MITb_static,85,781997.7599022503,0.00049105,96,4
MITb_static,90,781997.7599022503,0.00049105,96,4
MITb_static,95,867809.7017751434,0.000777820297029703,135,5
MITb_static,100,867809.7017751434,0.000777820297029703,135,5
M3500_static,50,121281.03088876256,0.0021108,128,2
M3500_static,55,121281.03088876256,0.0021108,128,2
M3500_static,60,181540.883597363,0.0020326,123,3
M3500_static,65,181701.1772722111,0.00211336,128,3
M3500_static,70,181701.1772722111,0.00211336,128,3
M3500_static,75,241761.91365365149,0.00203506,123,4
M3500_static,80,241761.91365365149,0.00203506,123,4
M3500_static,85,241975.1219327763,0.00211592,128,4
M3500_static,90,241975.1219327763,0.00211592,128,4
M3500_static,95,301837.5279751855,0.00203752,123,5
M3500_static,100,301837.5279751855,0.00203752,123,5
Intel_static,50,186730.23440603894,0.0010068,94,2
Intel_static,55,186730.23440603894,0.0010068,94,2
Intel_static,60,277576.52994422277,0.0011456300000000001,106,3
Intel_static,65,279573.30372367846,0.00100868,94,3
Intel_static,70,279573.30372367846,0.00100868,94,3
Intel_static,75,369418.42735787405,0.0011477500000000001,106,4
Intel_static,80,369432.53623132635,0.00113687875,105,4
Intel_static,85,372070.93096896773,0.00101056,94,4
Intel_static,90,372070.93096896773,0.00101056,94,4
Intel_static,95,460921.66940610675,0.00114987,106,5
Intel_static,100,460921.66940610675,0.00114987,106,5
Ais2klinik_static,50,80882.21134066641,0.00571201,231,2
Ais2klinik_static,55,84793.7543343236,0.00660426,280,2
Ais2klinik_static,60,106352.67695220688,0.00487999,173,3
Ais2klinik_static,65,112330.8455431372,0.00512771,192,3
Ais2klinik_static,70,121225.26733407618,0.00571663,231,3
Ais2klinik_static,75,122701.68663693423,0.00586789,240,3
Ais2klinik_static,80,141703.09924336278,0.00488345,173,4
Ais2klinik_static,85,149662.38271087682,0.00513155,192,4
Ais2klinik_static,90,157617.06350654183,0.00548164,216,4
Ais2klinik_static,95,177003.46435682263,0.0048869099999999995,173,5
Ais2klinik_static,100,177003.46435682263,0.0048869099999999995,173,5
