Filename,Percentage,DSE,stream_latency,n,p,iterations,iterations_ave,total_latency
lattice_1000_dynamic,50,80974.99138025583,0.0007409695138866,60,1,"[96.0, 53.0, 50.0]",66.33333333333333,0.0491509777544778
lattice_1000_dynamic,55,149358.55152893258,0.0011248100512507,84,2,"[96.0, 53.0, 50.0]",66.33333333333333,0.07461240006629644
lattice_1000_dynamic,60,160921.90925144538,0.0007457033076366,60,2,"[96.0, 53.0, 50.0]",66.33333333333333,0.049464986073227794
lattice_1000_dynamic,65,161688.12886369115,0.0007421695138866,60,2,"[96.0, 53.0, 50.0]",66.33333333333333,0.0492305777544778
lattice_1000_dynamic,70,161688.12886369115,0.0007421695138866,60,2,"[96.0, 53.0, 50.0]",66.33333333333333,0.0492305777544778
lattice_1000_dynamic,75,220986.23437466568,0.0011403425227507,84,3,"[96.0, 53.0, 50.0]",66.33333333333333,0.07564272067579643
lattice_1000_dynamic,80,236518.92001097449,0.0007610384826366,60,3,"[96.0, 53.0, 50.0]",66.33333333333333,0.050482219348227796
lattice_1000_dynamic,85,240995.05004143988,0.0007469033076366,60,3,"[96.0, 53.0, 50.0]",66.33333333333333,0.0495445860732278
lattice_1000_dynamic,90,242140.68055992157,0.0007433695138866,60,3,"[96.0, 53.0, 50.0]",66.33333333333333,0.049310177754477796
lattice_1000_dynamic,95,287246.3969924336,0.0011697274657507,84,4,"[96.0, 53.0, 50.0]",66.33333333333333,0.07759192189479643
lattice_1000_dynamic,100,287246.3969924336,0.0011697274657507,84,4,"[96.0, 53.0, 50.0]",66.33333333333333,0.07759192189479643
